PH1102402001,0.34%,"6,014"
PH1102402002,0.39%,"6,957"
PH1102402003,0.17%,"2,952"
PH1102402056,0.66%,"11,774"
PH1102402197,0.84%,"14,962"
PH1102402174,0.15%,"2,741"
PH1102402004,0.08%,"1,444"
PH1102402175,0.08%,"1,507"
PH1102402176,1.07%,"18,930"
PH1102402005,1.08%,"19,201"
PH1102402006,1.00%,"17,717"
PH1102402007,0.27%,"4,801"
PH1102402009,0.13%,"2,390"
PH1102402010,0.97%,"17,165"
PH1102402012,0.45%,"8,056"
PH1102402177,0.13%,"2,334"
PH1102402013,0.17%,"2,965"
PH1102402143,0.44%,"7,867"
PH1102402144,0.12%,"2,152"
PH1102402145,0.06%,"1,154"
PH1102402146,0.02%,366
PH1102402147,0.10%,"1,854"
PH1102402148,0.15%,"2,603"
PH1102402149,0.02%,441
PH1102402150,0.05%,906
PH1102402151,0.07%,"1,231"
PH1102402152,1.73%,"30,752"
PH1102402134,0.17%,"3,089"
PH1102402153,0.28%,"4,929"
PH1102402154,0.41%,"7,273"
PH1102402155,0.43%,"7,643"
PH1102402156,0.96%,"17,030"
PH1102402157,0.11%,"2,034"
PH1102402158,0.11%,"1,922"
PH1102402159,0.09%,"1,681"
PH1102402160,0.12%,"2,110"
PH1102402161,0.18%,"3,133"
PH1102402162,0.04%,703
PH1102402135,0.17%,"2,935"
PH1102402163,0.06%,"1,057"
PH1102402164,0.48%,"8,481"
PH1102402165,0.09%,"1,644"
PH1102402166,0.10%,"1,827"
PH1102402167,0.06%,"1,074"
PH1102402168,0.02%,409
PH1102402169,0.07%,"1,220"
PH1102402170,0.32%,"5,771"
PH1102402171,0.07%,"1,289"
PH1102402172,0.24%,"4,253"
PH1102402136,0.02%,407
PH1102402173,0.12%,"2,159"
PH1102402137,0.10%,"1,692"
PH1102402138,0.63%,"11,160"
PH1102402139,0.12%,"2,217"
PH1102402140,0.19%,"3,362"
PH1102402141,0.86%,"15,259"
PH1102402142,0.38%,"6,807"
PH1102402014,0.67%,"11,930"
PH1102402015,0.20%,"3,489"
PH1102402016,0.24%,"4,263"
PH1102402017,0.26%,"4,581"
PH1102402018,0.13%,"2,333"
PH1102402019,0.49%,"8,641"
PH1102402020,4.53%,"80,538"
PH1102402178,0.12%,"2,135"
PH1102402021,3.80%,"67,515"
PH1102402022,1.35%,"24,073"
PH1102402023,2.82%,"50,100"
PH1102402024,0.16%,"2,913"
PH1102402026,1.36%,"24,218"
PH1102402027,0.22%,"3,941"
PH1102402028,0.08%,"1,376"
PH1102402029,0.13%,"2,252"
PH1102402030,2.32%,"41,171"
PH1102402031,1.45%,"25,762"
PH1102402032,0.23%,"4,021"
PH1102402033,0.19%,"3,313"
PH1102402179,0.92%,"16,336"
PH1102402034,0.32%,"5,739"
PH1102402035,0.92%,"16,395"
PH1102402036,0.70%,"12,406"
PH1102402037,0.31%,"5,596"
PH1102402038,0.12%,"2,081"
PH1102402039,0.05%,970
PH1102402040,1.21%,"21,479"
PH1102402041,0.22%,"3,912"
PH1102402180,0.06%,"1,100"
PH1102402042,0.09%,"1,530"
PH1102402043,1.11%,"19,636"
